path,bytes,gib,reason
checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s43/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s43/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s43/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s44/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s44/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s44/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s42/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s42/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s42/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s43/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s43/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s43/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s44/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s44/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s44/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s42/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s42/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s42/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s43/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s43/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s43/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s44/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s44/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s44/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s42/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s42/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s42/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s43/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s43/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s43/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
